name,quantity,price,total,notes,link
USB to I2S Module cm6631a,1,40.82,40.82,"cheapest available amazon,",https://www.amazon.com/Generic-CM6631A-Digital-Interface-Converter/dp/B0D47Q1MNB/ref=sr_1_1
USB C Connector,1,0.1849710983,0.18,,https://electrostoreshop.com/product/type-c-usb-female-to-dip-pcb-breakout-board/
PCM5102A,1,18.26589595,18.27,"only available on digikey, so included shipping here",https://www.digikey.in/en/products/detail/texas-instruments/PCM5102APWR/4341334
LDO - LP5907,1,0.3005780347,0.30,,https://www.electronicscomp.com/lp5907mfx-33-nopb-texas-instruments-fixed-ldo-voltage-regulator-22v-to-55v-250mv-dropout-33vout-250maout-sot-23-5
Dual Gang Potentiometer,1,1.398843931,1.40,,https://in.rsdelivers.com/product/bourns/ptv112-4420a-b503/bourns-ptv-50k%CF%89-rotary-potentiometer-2-gang-hole/6930702
OPA2134PA,1,6.523255814,6.52,,https://www.digikey.in/en/products/detail/texas-instruments/OPA2134PA/254686
3.5mm Audio Jack,1,0.2403468208,0.24,,https://sharvielectronics.com/product/audio-jack-3-5mm-trrs-smd/
,,,,,
capacitors,,,,,
1uf,2,0.01156069364,0.02,"C1,C2",https://www.ktron.in/product/1uf-50v-ceramic-capacitor-mlcc-smd-0603/?v=c86ee0d9d7ed
39nf,2,0.2080924855,0.42,"C3,C12",https://www.electronicscomp.com/39nf-50v-smd-capacitor-0603-package?srsltid=AfmBOoq25UC_fSLY1ZbxNZT30KAw-xIDVuQYCKMltO6b1sqZaJZG5aGtvKs
0.1uf,4,0.01156069364,0.05,"C4,C7,C8,C15",https://www.ktron.in/product/100nf-16v-ceramic-capacitor-smd-0603/?v=c86ee0d9d7ed
2.2uf,2,0.02138728324,0.04,"C5,C6",https://www.ktron.in/product/2-2uf-10v-multi-layer-ceramic-capacitor/?v=c86ee0d9d7ed
10uf,1,0.02138728324,0.02,C9,https://www.ktron.in/product/10uf-25v-multi-layered-ceramic-capacitor-2/?v=c86ee0d9d7ed
2.2nf,2,0.008092485549,0.02,"C10,C11",https://www.ktron.in/product/2-nf-50v-mlcc-x7r-smd-0603-yageo/?v=c86ee0d9d7ed
1nf,2,0.005549132948,0.01,"C13,C14",https://www.ktron.in/product/1nf-50v-multi-layered-ceramic-capacitor-mlcc-smd-0603/?v=c86ee0d9d7ed
,,,,,
resistors,,,,,
590 Ohm,2,0.01156069364,0.02,"R1,R4",https://www.evelta.com/590-ohm-1-0603-thick-film-chip-resistor-0603waf5900t5e/?srsltid=AfmBOopxCBKZi5boQG3cTGVZ1r-1LTR2mo5DkxvwV8afwaDh1EBgeA3HZhE
470 Ohm,2,0.002543352601,0.01,"R2,R3",https://www.ktron.in/product/resistor-470e-1-10w-1-smd-0603/?v=c86ee0d9d7ed
499 Ohm,2,0.01156069364,0.02,"R5,R6",https://www.evelta.com/499-ohm-1-0603-thick-film-chip-resistor-0603waf4990t5e/?srsltid=AfmBOooC9A-sNrTWw4AAz6qx-uM3zw_H2IjvYKp0OpZFmxF9rxKQU7Fy7LE
2.49 kOhm,2,0.002543352601,0.01,"R7,R8",https://www.ktron.in/product/resistor-2-49k-ohms-1-1-10w-smd-0603-copy/?srsltid=AfmBOop4X3-TdVeo1nzuMWkoKFz_kVAzhG0kxXRbi8xaDZLN0iCi9cbBdN8&v=c86ee0d9d7ed
PCB Fabrication,1,26.01156069,26.01,,https://www.lioncircuits.com
TOTAL,,,94.38,,
