"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","1uf","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C3,C12","2","39nf","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C4,C7,C8,C15","4","0.1uf","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C5,C6","2","2.2uf","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C9","1","10uf","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C10,C11","2","2.2nf","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C13,C14","2","1nf","","","","Capacitor_SMD:C_0201_0603Metric","~"
"J1","1","USB_to_I2S","","","","dac:USB_I2S_Module","~"
"J3","1","Conn_01x04_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical","~"
"J4","1","AudioJack4","","","","Connector_Audio:Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal","~"
"R1,R4","2","590 Ohm","","","","Resistor_SMD:R_0201_0603Metric","~"
"R2,R3","2","470 Ohm","","","","Resistor_SMD:R_0201_0603Metric","~"
"R5,R6","2","499 Ohm","","","","Resistor_SMD:R_0201_0603Metric","~"
"R7,R8","2","2.49 kOhm","","","","Resistor_SMD:R_0201_0603Metric","~"
"RV1","1","R_Potentiometer_Dual","","","","dac:Dual_Gang_POT","~"
"U1","1","PCM5102A","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.ti.com/lit/ds/symlink/pcm5102a.pdf"
"U2","1","LP5907MFX-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp5907.pdf"
"U3","1","OPA2134PA","","","","OPA2134PA:DIP794W45P254L959H508Q8",""
